"","lambda","value","pH"
"102","382",784.446293831398,7.4
"103","382",806.023334418197,7.4
"104","383",788.153629588583,7.4
"105","383",809.27158420545,7.4
"106","383",795.522103772648,7.4
"107","383",812.96737063006,7.4
"108","383",799.217890197256,7.4
"109","383",818.051964297041,7.4
"110","383",801.995504682002,7.4
"111","384",805.691291106611,7.4
"112","384",822.218386024159,7.4
"113","384",824.996000508904,7.4
"114","384",810.328348136237,7.4
"115","384",827.773614993649,7.4
"116","385",813.105962620982,7.4
"117","385",830.551229478394,7.4
"118","385",816.801749045591,7.4
"119","385",833.328843963139,7.4
"120","385",821.427256742641,7.4
"121","385",839.790695539917,7.4
"122","386",825.134592499827,7.4
"123","386",845.345924509407,7.4
"124","386",828.830378924436,7.4
"125","386",832.526165349045,7.4
"126","386",850.88960414632,7.4
"127","387",837.151673046094,7.4
"128","387",854.596939903506,7.4
"129","387",840.85900880328,7.4
"130","387",858.304275660692,7.4
"131","388",845.48451650033,7.4
"132","388",863.388869327674,7.4
"133","388",851.028196137243,7.4
"134","388",868.473462994655,7.4
"135","389",855.194617864361,7.4
"136","389",873.098970691705,7.4
"137","389",858.442867651615,7.4
"138","389",876.817855781468,7.4
"139","390",863.986547288528,7.4
"140","390",882.373084750958,7.4
"141","390",866.77571110585,7.4
"142","390",883.325904688552,7.4
"143","390",886.080420508144,7.4
"144","391",872.319390742764,7.4
"145","391",888.881133658043,7.4
"146","391",876.95644777239,7.4
"147","391",893.04755538516,7.4
"148","392",879.745611589713,7.4
"149","392",894.459461292687,7.4
"150","392",883.452947346898,7.4
"151","392",898.166797049873,7.4
"152","393",901.908780804789,7.4
"153","393",891.831988131441,7.4
"154","394",895.550873221204,7.4
"155","394",904.732592619842,7.4
"156","395",896.503693158799,7.4
"157","395",905.70851122259,7.4
"158","395",899.315955641275,7.4
"159","396",900.280324911446,7.4
"160","396",900.326522241754,7.4
"161","397",899.454547632197,7.4
"162","398",896.769327808067,7.4
"163","398",904.149351324708,7.4
"164","399",894.061009318784,7.4
"165","399",902.370754107865,7.4
"166","399",888.621273675062,7.4
"167","400",899.662435618582,7.4
"168","400",884.535697275983,7.4
"169","401",879.543498269617,7.4
"170","401",894.234249307437,7.4
"171","401",874.975737235452,7.4
"172","401",890.596209545713,7.4
"173","401",871.32614814115,7.4
"174","402",866.758387106985,7.4
"175","402",886.958169783988,7.4
"176","402",862.19062607282,7.4
"177","402",883.308580689687,7.4
"178","402",880.106528232741,7.4
"179","402",857.634414371232,7.4
"180","403",876.927574440948,7.4
"181","403",852.16003072978,7.4
"182","403",872.359813406783,7.4
"183","403",843.919581936159,7.4
"184","403",846.674097755751,7.4
"185","403",868.710224312482,7.4
"186","403",865.06063521818,7.4
"187","404",840.281542174435,7.4
"188","404",858.656530304288,7.4
"189","404",861.411046123879,7.4
"190","404",832.970814653255,7.4
"191","404",855.92511314985,7.4
"192","404",827.484881679226,7.4
"193","404",850.439180175821,7.4
"194","405",847.707763021384,7.4
"195","405",822.928669977638,7.4
"196","405",815.617942456459,7.4
"197","405",837.65406901319,7.4
"198","405",807.377493662838,7.4
"199","405",832.168136039161,7.4
"200","406",802.809732628673,7.4
"201","406",829.436718884723,7.4
"202","406",796.405627714781,7.4
"203","406",799.160143534372,7.4
"204","406",821.196270091103,7.4
"205","406",790.001522800888,7.4
"206","406",816.628509056938,7.4
"207","407",787.27010564645,7.4
"208","407",812.060748022773,7.4
"209","407",808.411158928471,7.4
"210","407",780.877550065135,7.4
"211","407",798.334366255123,7.4
"212","407",801.088882074715,7.4
"213","407",795.602949100686,7.4
"214","408",791.953360006384,7.4
"215","408",788.751307549438,7.4
"216","408",785.549255092492,7.4
"217","408",782.817837938054,7.4
"218","409",777.331904964025,7.4
"219","409",767.278210955831,7.4
"220","409",770.032726775423,7.4
"221","409",761.792277981802,7.4
"222","410",757.224516947637,7.4
"223","410",752.656755913472,7.4
"224","410",747.170822939443,7.4
"225","411",739.860095418264,7.4
"226","411",735.280785051522,7.4
"227","411",731.63119595722,7.4
"228","411",727.063434923055,7.4
"229","412",722.49567388889,7.4
"230","412",719.764256734453,7.4
"231","412",716.114667640151,7.4
"232","413",709.710562726258,7.4
"233","413",704.224629752229,7.4
"234","413",700.575040657928,7.4
"235","414",696.925451563627,7.4
"236","414",693.275862469326,7.4
"237","414",686.871757555433,7.4
"238","414",681.385824581404,7.4
"239","414",684.140340400995,7.4
"240","415",674.063547727647,7.4
"241","415",676.818063547239,7.4
"242","415",671.33213057321,7.4
"243","415",667.670992146332,7.4
"244","416",661.278436565016,7.4
"245","416",664.032952384607,7.4
"246","416",656.710675530851,7.4
"247","416",650.306570616958,7.4
"248","416",653.061086436549,7.4
"249","416",646.656981522657,7.4
"250","417",642.089220488491,7.4
"251","417",633.848771694871,7.4
"252","417",636.603287514463,7.4
"253","417",629.281010660706,7.4
"254","418",626.549593506269,7.4
"255","418",621.981832472103,7.4
"256","418",611.905039798756,7.4
"257","418",614.659555618347,7.4
"258","418",609.173622644318,7.4
"259","419",604.594312277576,7.4
"260","419",600.933173850698,7.4
"261","419",593.610896996941,7.4
"262","419",596.365412816533,7.4
"263","419",589.043135962776,7.4
"264","420",585.393546868475,7.4
"265","420",578.989441954582,7.4
"266","420",581.743957774173,7.4
"267","420",569.830821221098,7.4
"268","420",572.585337040689,7.4
"269","420",563.426716307205,7.4
"270","421",538.525072012227,7.4
"271","421",538.525072012227,7.4
"272","421",538.525072012227,7.4
"273","421",538.525072012227,7.4
"274","421",538.525072012227,7.4
"275","421",538.525072012227,7.4
"276","421",538.525072012227,7.4
"277","421",543.198518605608,7.4
"278","421",550.208688495679,7.4
"279","421",550.208688495679,7.4
"280","421",557.940783333176,7.4
"281","421",554.291194238875,7.4
"282","422",508.428794575993,7.4
"283","422",504.767656149115,7.4
"284","422",519.919463876315,7.4
"285","422",522.256187173006,7.4
"286","422",522.256187173006,7.4
"287","422",524.592910469696,7.4
"288","422",529.266357063077,7.4
"289","422",529.266357063077,7.4
"290","422",536.276526953148,7.4
"291","422",536.276526953148,7.4
"292","422",536.276526953148,7.4
"293","422",496.538756688072,7.4
"294","422",491.052823714043,7.4
"295","422",493.807339533634,7.4
"296","423",487.403234619742,7.4
"297","423",483.283010222931,7.4
"298","423",479.162785826121,7.4
"299","423",470.922337032501,7.4
"300","423",473.676852852092,7.4
"301","424",464.518232118608,7.4
"302","424",455.830246687633,7.4
"303","424",449.896777076249,7.4
"304","425",442.574500222493,7.4
"305","425",436.1703953086,7.4
"306","425",430.684462334571,7.4
"307","425",433.438978154162,7.4
"308","426",423.362185480815,7.4
"309","426",416.039908627058,7.4
"310","426",410.553975653029,7.4
"311","426",405.068042679,7.4
"312","426",407.822558498592,7.4
"313","427",397.745765825244,7.4
"314","427",400.500281644835,7.4
"315","427",391.341660911351,7.4
"316","427",395.014348670806,7.4
"317","427",386.773899877186,7.4
"318","428",378.533451083566,7.4
"319","428",382.206138843021,7.4
"320","428",371.681809532318,7.4
"321","428",368.479757075372,7.4
"322","428",365.748339920934,7.4
"323","429",358.426063067178,7.4
"324","429",347.901733756475,7.4
"325","429",343.793058692242,7.4
"326","430",335.564159231198,7.4
"327","430",330.078226257169,7.4
"328","430",327.346809102732,7.4
"329","431",323.685670675853,7.4
"330","431",345.733346565161,7.4
"331","431",317.293115094538,7.4
"332","431",337.492897771541,7.4
"333","431",340.247413591132,7.4
"334","431",311.807182120509,7.4
"335","431",334.761480617103,7.4
"336","432",309.075764966071,7.4
"337","432",331.111891522802,7.4
"338","432",305.42617587177,7.4
"339","432",325.625958548773,7.4
"340","432",299.940242897741,7.4
"341","432",321.058197514608,7.4
"342","432",297.208825743303,7.4
"343","433",318.32678036017,7.4
"344","433",294.477408588866,7.4
"345","433",314.677191265869,7.4
"346","433",290.827819494564,7.4
"347","433",310.109430231704,7.4
"348","433",286.260058460399,7.4
"349","433",305.541669197539,7.4
"350","434",282.610469366098,7.4
"351","434",301.444543465882,7.4
"352","434",277.147635057223,7.4
"353","434",296.429245794362,7.4
"354","435",291.861484760197,7.4
"355","435",273.521144628075,7.4
"356","435",289.13006760576,7.4
"357","435",286.398650451322,7.4
"358","435",268.964932926487,7.4
"359","436",281.842438749734,7.4
"360","436",265.33844249734,7.4
"361","436",279.122570927873,7.4
"362","436",274.566359226285,7.4
"363","437",259.898706853618,7.4
"364","437",270.480782827206,7.4
"365","437",256.272216424471,7.4
"366","438",267.31337836799,7.4
"367","438",263.227801968911,7.4
"368","439",253.633193930648,7.4
"369","439",261.896741389422,7.4
"370","439",261.013217447289,7.4
"371","439",253.679391260956,7.4
"372","440",253.714039258687,7.4
"373","441",253.841081917033,7.4
"374","442",261.221105433674,7.4
"375","442",253.88727924734,7.4
"376","443",253.933476577648,7.4
"377","443",263.574281946218,7.4
"378","444",255.839116452837,7.4
"379","444",268.716622276084,7.4
"380","444",258.639829602736,7.4
"381","444",270.587614153542,7.4
"382","445",261.428993420058,7.4
"383","445",275.236220515745,7.4
"384","445",264.241255902534,7.4
"385","446",267.030419719856,7.4
"386","446",278.51911830073,7.4
"387","447",269.842682202332,7.4
"388","447",282.697089360425,7.4
"389","447",273.561567292095,7.4
"390","447",286.415974450187,7.4
"391","448",289.20513826751,7.4
"392","448",277.280452381857,7.4
"393","448",292.924023357272,7.4
"394","448",280.99933747162,7.4
"395","449",297.09044508439,7.4
"396","449",284.718222561383,7.4
"397","449",301.268416144085,7.4
"398","450",288.437107651146,7.4
"399","450",304.975751901271,7.4
"400","450",293.992336620636,7.4
"401","450",308.683087658456,7.4
"402","451",296.781500437958,7.4
"403","451",311.472251475779,7.4
"404","451",299.559114922703,7.4
"405","451",314.249865960524,7.4
"406","451",317.027480445269,7.4
"407","451",302.359828072602,7.4
"408","452",319.805094930014,7.4
"409","452",305.137442557347,7.4
"410","452",309.75140092182,7.4
"411","452",322.605808079913,7.4
"412","452",325.383422564658,7.4
"413","453",314.400007284023,7.4
"414","453",329.102307654421,7.4
"415","453",331.879922139166,7.4
"416","454",321.814678798395,7.4
"417","454",336.505429836216,7.4
"418","454",325.510465223004,7.4
"419","454",339.294593653538,7.4
"420","454",328.299629040326,7.4
"421","454",342.072208138283,7.4
"422","455",330.182170250361,7.4
"423","455",344.872921288182,7.4
"424","455",347.650535772927,7.4
"425","456",334.807677947411,7.4
"426","456",343.082774738762,7.4
"427","456",350.439699590249,7.4
"428","456",338.526563037174,7.4
"429","456",353.228863407571,7.4
"430","457",342.23389879436,7.4
"431","457",356.006477892316,7.4
"432","457",345.023062611682,7.4
"433","457",360.65508425452,7.4
"434","457",346.89405448914,7.4
"435","458",351.51956218619,7.4
"436","458",366.21031322401,7.4
"437","458",354.308726003512,7.4
"438","459",369.929198313773,7.4
"439","459",375.472877950686,7.4
"440","459",359.875504305579,7.4
"441","459",379.180213707872,7.4
"442","460",363.582840062765,7.4
"443","460",366.36045454751,7.4
"444","460",383.805721404922,7.4
"445","460",387.501507829531,7.4
"446","460",370.067790304696,7.4
"447","461",373.775126061882,7.4
"448","461",393.056736799021,7.4
"449","461",378.389084426354,7.4
"450","461",395.834351283766,7.4
"451","461",401.366481588103,7.4
"452","462",383.014592123404,7.4
"453","462",404.144096072848,7.4
"454","462",386.72192788059,7.4
"455","462",406.921710557593,7.4
"456","462",391.335886245063,7.4
"457","462",410.617496982202,7.4
"458","463",395.031672669671,7.4
"459","463",413.395111466947,7.4
"460","463",416.149627286539,7.4
"461","463",398.72745909428,7.4
"462","463",418.927241771284,7.4
"463","463",403.341417458753,7.4
"464","463",422.623028195893,7.4
"465","463",406.119031943498,7.4
"466","464",426.318814620502,7.4
"467","464",410.744539640548,7.4
"468","464",430.026150377688,7.4
"469","464",435.569830014601,7.4
"470","465",418.136112489766,7.4
"471","465",421.820349581798,7.4
"472","465",439.26561643921,7.4
"473","465",425.527685338984,7.4
"474","465",443.89112413626,7.4
"475","466",431.071364975897,7.4
"476","466",447.598459893445,7.4
"477","466",433.848979460642,7.4
"478","466",451.294246318054,7.4
"479","466",436.626593945388,7.4
"480","466",454.542496105308,7.4
"481","467",439.404208430133,7.4
"482","467",442.181822914878,7.4
"483","467",447.725502551791,7.4
"484","468",462.439352254766,7.4
"485","468",451.432838308977,7.4
"486","468",467.076409284392,7.4
"487","468",455.163272731317,7.4
"488","469",458.88215782108,7.4
"489","469",471.277479009241,7.4
"490","470",469.016697157312,7.4
"491","470",471.771212976903,7.4
"492","470",462.612592243419,7.4
"493","470",465.401756060741,7.4
"494","471",474.629672789687,7.4
"495","471",466.389223996067,7.4
"496","471",474.675870119994,7.4
"497","472",467.353593266238,7.4
"498","472",474.722067450302,7.4
"499","472",467.399790596546,7.4
"500","473",465.598094714549,7.4
"501","474",463.842596162859,7.4
"502","474",462.05244961344,7.4
"503","474",471.693254982009,7.4
"504","475",460.262303064019,7.4
"505","475",469.455571795234,7.4
"506","475",458.460607182023,7.4
"507","476",467.676974578391,7.4
"508","476",454.834116752875,7.4
"509","476",464.968656089108,7.4
"510","477",452.125798263591,7.4
"511","477",448.946844471799,7.4
"512","477",461.34216565996,7.4
"513","477",447.604234559734,7.4
"514","478",459.55201911054,7.4
"515","478",444.872817405296,7.4
"516","478",442.141400250859,7.4
"517","478",455.925528681392,7.4
"518","479",439.444631094152,7.4
"519","479",452.299038252245,7.4
"520","479",448.672547823097,7.4
"521","480",434.911518057718,7.4
"522","480",432.18010090328,7.4
"523","480",445.04605739395,7.4
"524","481",426.728815926982,7.4
"525","481",441.419566964802,7.4
"526","481",424.008948105121,7.4
"527","481",438.699699142942,7.4
"528","481",420.370908343397,7.4
"529","482",429.564177074611,7.4
"530","482",433.25996349922,7.4
"531","482",415.826245974385,7.4
"532","482",428.703751797632,7.4
"533","483",411.740669575306,7.4
"534","483",425.077261368485,7.4
"535","483",419.591328394456,7.4
"536","483",407.666642508803,7.4
"537","484",404.935225354366,7.4
"538","484",418.707804452323,7.4
"539","484",415.976387297885,7.4
"540","484",401.297185592641,7.4
"541","484",412.338347536161,7.4
"542","485",397.659145830917,7.4
"543","485",394.927728676479,7.4
"544","485",408.72340643959,7.4
"545","485",393.137582127059,7.4
"546","486",404.626280707934,7.4
"547","486",389.958628335267,7.4
"548","486",400.999790278786,7.4
"549","486",386.791223876051,7.4
"550","487",398.739008426857,7.4
"551","487",383.164733446904,7.4
"552","487",395.560054635065,7.4
"553","487",387.790241143953,7.4
"554","487",393.299272783136,7.4
"555","488",379.538243017756,7.4
"556","488",390.590954293852,7.4
"557","488",374.075408708881,7.4
"558","489",371.35554088702,7.4
"559","489",386.046291924841,7.4
"560","489",383.314874770403,7.4
"561","489",366.822427850586,7.4
"562","489",380.595006948543,7.4
"563","490",361.359593541711,7.4
"564","490",375.5912586096,7.4
"565","491",359.110361022359,7.4
"566","491",372.423854150384,7.4
"567","491",355.013235290703,7.4
"568","491",369.703986328523,7.4
"569","491",351.363646196401,7.4
"570","492",364.252701352225,7.4
"571","492",347.737155767254,7.4
"572","492",343.169394733089,7.4
"573","492",360.614661590501,7.4
"574","492",340.437977578651,7.4
"575","492",357.883244436063,7.4
"576","493",337.706560424214,7.4
"577","493",355.151827281625,7.4
"578","493",334.975143269776,7.4
"579","493",350.58406624746,7.4
"580","493",330.407382235611,7.4
"581","494",346.946026485736,7.4
"582","494",327.675965081173,7.4
"583","494",324.026375986872,7.4
"584","494",344.226158663875,7.4
"585","494",321.294958832434,7.4
"586","494",340.576569569574,7.4
"587","495",336.008808535409,7.4
"588","495",315.820575190982,7.4
"589","495",331.452596833821,7.4
"590","495",325.978213192369,7.4
"591","496",314.97169924658,7.4
"592","496",322.328624098067,7.4
"593",NA,NA,7.4
"594",NA,NA,7.4
"595",NA,NA,7.4
"596",NA,NA,7.4
"597",NA,NA,7.4
"598",NA,NA,7.4
"599",NA,NA,7.4
"600",NA,NA,7.4
"601",NA,NA,7.4
"602",NA,NA,7.4
"603",NA,NA,7.4
"604",NA,NA,7.4
"605",NA,NA,7.4
"606",NA,NA,7.4
"607",NA,NA,7.4
"608",NA,NA,7.4
"609",NA,NA,7.4
"610",NA,NA,7.4
"611",NA,NA,7.4
"612",NA,NA,7.4
"613",NA,NA,7.4
"614",NA,NA,7.4
"615",NA,NA,7.4
"616",NA,NA,7.4
"617",NA,NA,7.4
"618",NA,NA,7.4
"619",NA,NA,7.4
"620",NA,NA,7.4
"621",NA,NA,7.4
"622",NA,NA,7.4
"623",NA,NA,7.4
"624",NA,NA,7.4
"625",NA,NA,7.4
"626",NA,NA,7.4
"627",NA,NA,7.4
"628",NA,NA,7.4
"629",NA,NA,7.4
"630",NA,NA,7.4
"631",NA,NA,7.4
"632",NA,NA,7.4
"633",NA,NA,7.4
"634",NA,NA,7.4
"635",NA,NA,7.4
"636",NA,NA,7.4
"637",NA,NA,7.4
"638",NA,NA,7.4
"639",NA,NA,7.4
"640",NA,NA,7.4
"641",NA,NA,7.4
"642",NA,NA,7.4
"643",NA,NA,7.4
"644",NA,NA,7.4
"645",NA,NA,7.4
"646",NA,NA,7.4
"647",NA,NA,7.4
"648",NA,NA,7.4
"649",NA,NA,7.4
"650",NA,NA,7.4
"651",NA,NA,7.4
"652",NA,NA,7.4
"653",NA,NA,7.4
"654",NA,NA,7.4
"655",NA,NA,7.4
"656",NA,NA,7.4
"657",NA,NA,7.4
"658",NA,NA,7.4
"659",NA,NA,7.4
"660",NA,NA,7.4
"661",NA,NA,7.4
"662",NA,NA,7.4
"663",NA,NA,7.4
"664",NA,NA,7.4
"665",NA,NA,7.4
"666",NA,NA,7.4
"667",NA,NA,7.4
"668",NA,NA,7.4
"669",NA,NA,7.4
"670",NA,NA,7.4
"671",NA,NA,7.4
"672",NA,NA,7.4
"673",NA,NA,7.4
"674",NA,NA,7.4
"675",NA,NA,7.4
"676",NA,NA,7.4
"677",NA,NA,7.4
"678",NA,NA,7.4
"679",NA,NA,7.4
"680",NA,NA,7.4
"681",NA,NA,7.4
"682",NA,NA,7.4
"683",NA,NA,7.4
"684",NA,NA,7.4
"685",NA,NA,7.4
"686",NA,NA,7.4
"687",NA,NA,7.4
"688",NA,NA,7.4
"689",NA,NA,7.4
"690",NA,NA,7.4
"691",NA,NA,7.4
"692",NA,NA,7.4
"693",NA,NA,7.4
"694",NA,NA,7.4
"695",NA,NA,7.4
"696",NA,NA,7.4
"697",NA,NA,7.4
"698",NA,NA,7.4
"699",NA,NA,7.4
"700",NA,NA,7.4
"701",NA,NA,7.4
"702",NA,NA,7.4
"703",NA,NA,7.4
"704",NA,NA,7.4
"705",NA,NA,7.4
"706",NA,NA,7.4
"707",NA,NA,7.4
"708",NA,NA,7.4
"709",NA,NA,7.4
"710",NA,NA,7.4
"711",NA,NA,7.4
"712",NA,NA,7.4
"713",NA,NA,7.4
"714",NA,NA,7.4
"715",NA,NA,7.4
"716",NA,NA,7.4
"717",NA,NA,7.4
"718",NA,NA,7.4
"719",NA,NA,7.4
"720",NA,NA,7.4
"721",NA,NA,7.4
"722",NA,NA,7.4
"723",NA,NA,7.4
"724",NA,NA,7.4
"725",NA,NA,7.4
"726",NA,NA,7.4
"727",NA,NA,7.4
"728",NA,NA,7.4
"729",NA,NA,7.4
"730",NA,NA,7.4
"731",NA,NA,7.4
"732",NA,NA,7.4
"733",NA,NA,7.4
"734",NA,NA,7.4
"735",NA,NA,7.4
"736",NA,NA,7.4
"737",NA,NA,7.4
"738",NA,NA,7.4
"739",NA,NA,7.4
"740",NA,NA,7.4
"741",NA,NA,7.4
"742",NA,NA,7.4
"743",NA,NA,7.4
"744",NA,NA,7.4
"745",NA,NA,7.4
"746",NA,NA,7.4
"747",NA,NA,7.4
"748",NA,NA,7.4
"749",NA,NA,7.4
"750",NA,NA,7.4
"751",NA,NA,7.4
"752",NA,NA,7.4
"753",NA,NA,7.4
"754",NA,NA,7.4
"755",NA,NA,7.4
"756",NA,NA,7.4
"757",NA,NA,7.4
"758",NA,NA,7.4
"759",NA,NA,7.4
"760",NA,NA,7.4
"761",NA,NA,7.4
"762",NA,NA,7.4
"763",NA,NA,7.4
"764",NA,NA,7.4
"765",NA,NA,7.4
"766",NA,NA,7.4
"767",NA,NA,7.4
"768",NA,NA,7.4
"769",NA,NA,7.4
"770",NA,NA,7.4
"771",NA,NA,7.4
"772",NA,NA,7.4
"773",NA,NA,7.4
"774",NA,NA,7.4
"775",NA,NA,7.4
"776",NA,NA,7.4
"777",NA,NA,7.4
"778",NA,NA,7.4
"779",NA,NA,7.4
"780",NA,NA,7.4
"781",NA,NA,7.4
"782",NA,NA,7.4
"783",NA,NA,7.4
"784",NA,NA,7.4
"785",NA,NA,7.4
"786",NA,NA,7.4
"787",NA,NA,7.4
"788",NA,NA,7.4
"789",NA,NA,7.4
"790",NA,NA,7.4
"791",NA,NA,7.4
"792",NA,NA,7.4
"793",NA,NA,7.4
"794",NA,NA,7.4
"795",NA,NA,7.4
"796",NA,NA,7.4
"797",NA,NA,7.4
"798",NA,NA,7.4
"799",NA,NA,7.4
"800",NA,NA,7.4
"801",NA,NA,7.4
"802",NA,NA,7.4
"803",NA,NA,7.4
"804",NA,NA,7.4
"805",NA,NA,7.4
"806",NA,NA,7.4
"807",NA,NA,7.4
"808",NA,NA,7.4
"809",NA,NA,7.4
"810",NA,NA,7.4
"811",NA,NA,7.4
"812",NA,NA,7.4
"813",NA,NA,7.4
"814",NA,NA,7.4
"815",NA,NA,7.4
"816",NA,NA,7.4
"817",NA,NA,7.4
"818",NA,NA,7.4
"819",NA,NA,7.4
"820",NA,NA,7.4
"821",NA,NA,7.4
"822",NA,NA,7.4
"823",NA,NA,7.4
"824",NA,NA,7.4
"825",NA,NA,7.4
"826",NA,NA,7.4
"827",NA,NA,7.4
"828",NA,NA,7.4
"829",NA,NA,7.4
"830",NA,NA,7.4
"831",NA,NA,7.4
"832",NA,NA,7.4
"833",NA,NA,7.4
"834",NA,NA,7.4
"835",NA,NA,7.4
"836",NA,NA,7.4
"837",NA,NA,7.4
"838",NA,NA,7.4
"839",NA,NA,7.4
"840",NA,NA,7.4
"841",NA,NA,7.4
"842",NA,NA,7.4
"843",NA,NA,7.4
"844",NA,NA,7.4
"845",NA,NA,7.4
"846",NA,NA,7.4
"847",NA,NA,7.4
"848",NA,NA,7.4
"849",NA,NA,7.4
"850",NA,NA,7.4
"851",NA,NA,7.4
"852",NA,NA,7.4
"853",NA,NA,7.4
"854",NA,NA,7.4
"855",NA,NA,7.4
"856",NA,NA,7.4
"857",NA,NA,7.4
"858",NA,NA,7.4
"859",NA,NA,7.4
"860",NA,NA,7.4
"861",NA,NA,7.4
"862",NA,NA,7.4
"863",NA,NA,7.4
"864",NA,NA,7.4
"865",NA,NA,7.4
"866",NA,NA,7.4
"867",NA,NA,7.4
"868",NA,NA,7.4
"869",NA,NA,7.4
"870",NA,NA,7.4
"871",NA,NA,7.4
"872",NA,NA,7.4
"873",NA,NA,7.4
"874",NA,NA,7.4
"875",NA,NA,7.4
"876",NA,NA,7.4
"877",NA,NA,7.4
"878",NA,NA,7.4
"879",NA,NA,7.4
"880",NA,NA,7.4
"881",NA,NA,7.4
"882",NA,NA,7.4
"883",NA,NA,7.4
"884",NA,NA,7.4
"885",NA,NA,7.4
"886",NA,NA,7.4
"887",NA,NA,7.4
"888",NA,NA,7.4
"889",NA,NA,7.4
"890",NA,NA,7.4
"891",NA,NA,7.4
"892",NA,NA,7.4
"893",NA,NA,7.4
"894",NA,NA,7.4
"895",NA,NA,7.4
"896",NA,NA,7.4
"897",NA,NA,7.4
"898",NA,NA,7.4
"899",NA,NA,7.4
"900",NA,NA,7.4
"901",NA,NA,7.4
"902",NA,NA,7.4
"903",NA,NA,7.4
"904",NA,NA,7.4
"905",NA,NA,7.4
"906",NA,NA,7.4
"907",NA,NA,7.4
"908",NA,NA,7.4
"909",NA,NA,7.4
"910",NA,NA,7.4
"911",NA,NA,7.4
"912",NA,NA,7.4
"913",NA,NA,7.4
"914",NA,NA,7.4
"915",NA,NA,7.4
"916",NA,NA,7.4
"917",NA,NA,7.4
"918",NA,NA,7.4
"919",NA,NA,7.4
"920",NA,NA,7.4
"921",NA,NA,7.4
"922",NA,NA,7.4
"923",NA,NA,7.4
"924",NA,NA,7.4
"925",NA,NA,7.4
"926",NA,NA,7.4
"927",NA,NA,7.4
"928",NA,NA,7.4
"929",NA,NA,7.4
"930",NA,NA,7.4
"931",NA,NA,7.4
"932",NA,NA,7.4
"933",NA,NA,7.4
"934",NA,NA,7.4
"935",NA,NA,7.4
"936",NA,NA,7.4
"937",NA,NA,7.4
"938",NA,NA,7.4
